window_idx,reconstruction_error,is_anomaly,threshold,error_zscore
0,2.6813169,False,149.5208,-1.1889027
1,2.6807308,False,149.5208,-1.1889194
2,2.6798232,False,149.5208,-1.1889453
3,2.679906,False,149.5208,-1.188943
4,2.6788821,False,149.5208,-1.1889721
5,2.6772268,False,149.5208,-1.1890194
6,2.674516,False,149.5208,-1.1890968
7,2.620866,False,149.5208,-1.1906272
8,10.240522,False,149.5208,-0.9732605
9,10.298986,False,149.5208,-0.9715927
10,18.278158,False,149.5208,-0.7439702
11,37.431625,False,149.5208,-0.1975776
12,36.98605,False,149.5208,-0.21028857
13,39.598007,False,149.5208,-0.13577703
14,48.966038,False,149.5208,0.1314656
15,41.583336,False,149.5208,-0.079141386
16,55.538486,False,149.5208,0.31895843
17,65.07511,False,149.5208,0.5910106
18,45.990944,False,149.5208,0.04659484
19,65.31493,False,149.5208,0.597852
20,69.173744,False,149.5208,0.70793265
21,59.798004,False,149.5208,0.44047007
22,80.1947,False,149.5208,1.0223285
23,66.02718,False,149.5208,0.61817044
24,96.37525,False,149.5208,1.4839125
25,103.833664,False,149.5208,1.6966792
26,92.662254,False,149.5208,1.3779914
27,96.48115,False,149.5208,1.4869334
28,130.68098,False,149.5208,2.4625552
29,110.366806,False,149.5208,1.8830507
30,119.52075,False,149.5208,2.1441863
31,112.83915,False,149.5208,1.9535795
32,105.469894,False,149.5208,1.7433561
33,162.71312,True,149.5208,3.3763387
34,180.94481,True,149.5208,3.8964357
