CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,Sulphate,SiO2,IRON
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm,3.0 ppm
01.07.16,8.7,22,0,817,470,248,222,94,-,4,320,-,-,1.2
02.07.16,8.67,27,0,885,553,282,271,100,-,4,340,-,-,1.2
02.07.16,8.3,27,0,893,556,284,272,100,-,4,320,-,-,1.2
03.07.16,8.7,26,0,890,552,282,270,100,-,4,330,-,-,1.2
04.07.16,8.76,26,0,890,562,290,272,101,-,4,330,-,-,1.3
04.07.16,8.24,25,0,886,557,286,271,101,-,4,320,-,-,1.3
05.07.16,8.79,22,0,923,550,280,270,108,-,4,320,-,-,1.3
05.07.16,8.02,22,0,940,554,294,260,108,-,4,320,-,-,1.3
06.07.16,8.7,20,0,910,533,290,243,101,-,4,280,-,-,1.3
06.07.16,8.08,20,0,931,550,298,252,101,-,4,280,-,-,1.3
07.07.16,8.68,20,0,936,590,320,270,102,-,4,340,-,-,1.3
08.07.16,8.72,21,0,942,605,328,277,108,-,4,360,-,-,1.3
08.07.16,8.03,21,0,916,600,325,275,108,-,4,320,-,-,1.3
09.07.16,8.73,20,0,844,546,307,239,101,-,4,320,-,-,1.3
09.07.16,8.01,20,0,842,540,300,240,101,-,4,320,-,-,1.3
10.07.16,8.72,20,0,880,590,320,270,102,-,4,350,-,-,1.3
11.07.16,8.68,21,0,980,647,344,303,115,-,4,280,-,-,1.3
11.07.16,8.02,21,0,970,638,340,298,115,-,4,280,-,-,1.3
12.07.16,8.65,28,0,885,588,323,265,108,6,10,360,-,-,1.2
12.07.16,7.83,28,0,911,601,332,269,108,6,10,240,-,-,1.2
13.07.16,8.69,29,0,897,601,332,269,108,6.4,10.4,320,-,-,1.3
13.07.16,8.1,30,0,951,613,349,264,108,6.4,10.4,280,-,-,1.3
15.07.16,8.7,28,0,1020,706,399,307,122,6.5,10.5,320,-,-,1.2
15.07.16,7.74,28,0,1040,714,400,314,122,6.5,10.5,300,-,-,1.2
16.07.16,8.72,29,0,1053,716,405,311,108,6.5,10.5,360,-,-,1.2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MIN.,7.74,20,0,817,470,248,222,94,6,4,240,0,0,1.2
MAX.,8.79,30,0,1053,716,405,314,122,6.5,10.5,360,0,0,1.3
AVG.,8.439200000000001,24.04,0,921.28,589.28,318.32,270.96,106,0,5.772,316.4,0,0,1.2640000000000002
No. of < Spec,0,--,25,--,--,,--,--,0,--,-,--,--,
No. of > Spec,23,19,0,0,0,--,--,0,0,0,-,0,0,
% < Specs.,0,--,100,--,--,--,--,--,0,-,-,-,--,
% > Specs.,92,76,0,0,0,-,--,0,0,0,-,,,
