CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,Sulphate,SiO2,IRON
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm,3.0 ppm
01.08.16,7.4,68,0.1,1360,903,584,319,210,7,10,110,-,154,0.9
02.08.16,7.38,70,0.4,1370,916,542,374,218,7,10,120,-,148,0.9
03.08.16,7.34,66,0.1,1204,840,584,256,202,7.1,10.1,115,-,142,0.9
04.08.16,7.42,78,0,1279,869,538,331,210,7.2,10.2,110,-,148,0.9
05.08.16,7.48,69,0,1170,765,470,295,208,7.2,10.2,115,-,146,0.9
06.08.16,7.5,65,0,1056,722,466,256,195,7.2,10.2,112,-,152,0.9
07.08.16,7.57,78,0,1182,735,480,255,196,7.1,10.1,115,-,158,1
08.08.16,7.65,83,0,1286,742,488,254,195,7.1,10.2,110,-,156,1.2
09.08.16,7.98,70,0,1295,722,475,247,187,7.3,10.3,109,-,162,0.9
10.08.16,7.9,66,0,1153,672,433,239,171,7.2,10.2,120,-,160,0.8
11.08.16,8.06,54,0,930,622,437,185,179,7.2,10.2,115,-,160,0.9
12.08.16,8.01,60,0,922,615,430,185,172,7.2,10.2,115,-,160,0.8
13.08.16,8.2,49,0,901,554,374,180,179,7.1,10.1,120,-,158,0.8
14.08.16,8,55,0,880,548,370,178,176,7.2,10.2,118,-,158,0.8
15.08.16,7.98,58,0,790,530,355,175,170,7.2,10.2,115,-,158,0.8
16.08.16,7.9,63,0,724,500,315,185,159,7.4,10.4,110,-,159,0.8
17.08.16,7.7,77,0,808,466,319,147,162,7.5,10.5,110,-,160,0.9
18.08.16,7.62,80,0,820,488,352,168,158,7.1,10.1,110,-,161,1.9
19.08.16,7.82,83,0,853,520,352,168,158,7.1,10.1,110,-,161,1.9
20.08.16,7.32,81,0,820,491,332,159,156,7.1,10.1,110,-,158,1.9
21.08.16,7.22,81,0,780,470,310,160,158,7.1,10.1,110,-,158,1.9
22.08.16,7.32,88,0,880,545,370,175,160,7.1,10.1,110,-,160,1.9
23.08.16,7.46,97,0,827,525,361,164,162,7.2,10.2,113,-,163,1.9
24.08.16,7.48,99,0,682,496,260,236,156,7.3,10.3,110,-,162,1.8
25.08.16,7.46,100,0,685,498,269,229,152,7.4,10.4,102,-,161,1.9
26.08.16,7.1,104,0,510,480,256,224,154,7.3,10.33,110,-,163,1.8
27.08.16,6.94,112,0,535,504,315,189,181,7.5,10.5,109,-,159,1.9
28.08.16,7.44,110,0,788,502,309,193,180,7.4,10.4,100,-,162,2.2
29.08.16,7.44,110,0,788,498,302,196,180,7.4,10.4,100,-,162,2.2
30.08.16,7.42,118,0,735,470,315,155,173,7.8,10.8,110,-,166,2.6
31.08.16,7.84,103,0,949,483,298,185,173,7.9,10.9,110,-,163,2.8
MIN.,6.94,49,0,510,466,256,147,152,7,10,100,0,142,0.8
MAX.,8.2,118,0.4,1370,916,584,374,218,7.9,10.9,120,0,166,2.8
AVG.,7.591935483870968,80.48387096774194,0,934.258064516129,602.9354838709677,389.06451612903226,214.90322580645162,177.09677419354838,0,10.259032258064513,111.38709677419355,0,0,1.4096774193548387
No. of < Spec,16,--,30,--,--,,--,--,0,0,0,--,--,31
No. of > Spec,3,31,0,0,0,--,--,0,0,31,31,0,0,0
% < Specs.,51.61290322580645,--,96.77419354838709,--,--,--,--,--,0,0,0,-,--,100
% > Specs.,9.677419354838708,100,0,0,0,-,--,0,0,100,100,,0,0
