Unnamed: 0,Unnamed: 1,"WEX TECHNOLOGIES PVT LTD,PUNE",Unnamed: 3,Unnamed: 4,Unnamed: 5,"(HYDRO TECH SERVICES,VAPI)",Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,COOLING WATER TREATMENT SERVICE REPORT,,,,,MAIN PLANT,,MONTH March-13 DCM JHAGADIA,,,,,,,
PARAMETERS,PH,TH,Ca,T.ALK,P.ALK,CL,SILICA,PO4,COND.,T.D.S,TURBIDITY,IRON,C.O.C,FRC,SS,SULPHATE
DATE,,PPM,PPM,PPM,PPM,PPM,PPM,PPM,US/CM,PPM,NTU,PPM,AS(TDS),PPM,PPM,PPM
01.03.13,7.92,865,551,160,NIL,164,100,7.3,2310,1558,18,0.2,7.4,0.2,37,920
02.03.13,7.8,877,530,150,NIL,167,102,7.4,2190,1480,17,0.2,7.4,0.2,35,936
03.03.13,7.76,844,563,130,NIL,168,106,7.3,2240,1516,18,0.2,7.2,0.2,37,941
04.03.13,7.96,905,550,165,NIL,167,110,7.2,2390,1615,19,0.2,7.6,0.3,39,930
05.03.13,8.01,869,538,170,NIL,199,105,7.4,2220,1500,16,0.2,7.1,0.2,33,919
06.03.13,7.97,971,571,165,NIL,189,110,7.5,2280,1543,18,0.2,7.2,0.2,37,928
07.03.13,7.98,992,612,165,NIL,182,110,7.5,2310,1560,18,0.2,7.4,0.2,38,919
08.03.13,8.05,979,579,175,NIL,196,113,7.6,2310,1560,19,0.2,7.2,0.2,40,926
09.03.13,7.86,959,559,155,NIL,192,111,7.5,2315,1563,18,0.2,7.8,0.2,38,911
10.03.13,8.02,961,563,170,NIL,196,113,7.4,2310,1560,18,0.2,7.8,0.2,37,931
11.03.13,7.9,950,542,160,NIL,182,115,7.6,2300,1555,18,0.2,8.1,0.2,36,940
12.03.13,7.97,950,542,165,NIL,179,118,7.5,2290,1548,18,0.2,7.7,0.2,37,928
13.03.13,8.02,885,498,170,NIL,172,115,7.5,2270,1496,19,0.2,6.9,0.2,39,918
14.03.13,8.15,832,493,185,NIL,153,109,7.6,2230,1509,18,0.2,7.5,0.2,38,893
15.03.13,8.15,808,432,185,NIL,142,99,7,2210,1495,18,0.2,7.7,0.2,37,881
16.03.13,8.17,767,436,188,NIL,139,92,6.7,2215,1498,17,0.3,7.6,0.2,35,869
17.03.13,7.9,750,420,160,NIL,164,95,6.9,2070,1400,17,0.3,7.1,0.2,34,870
18.03.13,7.92,795,440,162,NIL,143,90,6.5,2040,1380,17,0.2,7.2,0.2,33,850
19.03.13,7.84,714,388,155,NIL,135,88,6.4,1910,1290,16,0.2,6.4,0.2,32,841
20.03.13,7.93,779,453,162,NIL,139,90,6.7,2120,1434,18,0.2,6.8,0.2,37,864
21.03.13,7.98,767,448,165,NIL,135,92,6.8,2030,1369,17,0.2,6.2,0.2,35,878
22.03.13,7.96,718,424,165,NIL,132,99,6.9,2020,1350,20,0.2,6.1,0.2,41,897
23.03.13,7.93,754,432,162,NIL,135,104,6.81,2160,1460,25,0.2,7.3,0.3,52,911
24.03.13,7.95,767,432,165,NIL,139,105,6.9,2040,1380,28,0.2,6.5,0.3,58,911
25.03.13,7.93,761,448,160,NIL,135,102,6.4,2120,1434,20,0.2,6.5,0.3,42,897
26.03.13,7.98,689,416,165,NIL,125,105,6.4,2160,1460,20,0.2,6.5,0.3,41,899
27.03.13,7.83,779,530,155,NIL,136,102,6.4,2170,1468,20,0.2,6.8,0.3,42,877
28.03.13,7.98,791,543,165,NIL,142,104,6.4,2190,1472,20,0.2,6.7,0.3,43,870
29.03.13,7.97,710,485,170,NIL,141,103,6,2185,1470,20,0.2,6.6,0.3,41,875
30.03.13,7.83,706,457,152,NIL,121,84,6.5,1960,1324,17,0.2,6.1,0.2,35,851
31.03.13,7.78,697,451,135,NIL,115,80,6.4,2200,1490,18,0.2,6.8,0.1,37,880
AVRG,7.948387096774193,825.516129032258,494.38709677419354,163.09677419354838,NIL,155.61290322580646,102.29032258064517,6.980967741935485,2185.967741935484,1475.3870967741937,18.70967741935484,0.20645161290322586,7.070967741935484,0.22258064516129034,38.58064516129032,898.741935483871
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"WEX TECHNOLOGIES PVT LTD,PUNE",,,,"(HYDRO TECH SERVICES,VAPI)",,,,,,,,,,
,,RAW(MAKE UP) WATER SERVICE REPORT,,,,,MONTH MARCH-13 DCM JHAGADIA,,,,,,,,,
PARAMETERS,PH,TH,Ca,T.ALK,P.ALK,CL,SILICA,COND.,T.D.S,TURBIDITY,,,,,,
DATE,,PPM,PPM,PPM,PPM,PPM,PPM,us/cm,PPM,NTU,,,,,,
01.03.13,8.05,130,73,170,NIL,25,19,310,210,2,,,,,,
02.03.13,8.02,128,72,170,NIL,25,19,295,200,2,,,,,,
03.03.13,8.05,130,73,165,NIL,25,20,310,210,2,,,,,,
04.03.13,8.08,135,73,165,NIL,21,19,295,200,2,,,,,,
05.03.13,8.05,130,73,170,NIL,25,20,310,210,2,,,,,,
06.03.13,8.03,131,73,170,NIL,26,20,313,212,2,,,,,,
07.03.13,7.98,130,73,165,NIL,25,20,310,210,2,,,,,,
08.03.13,8.06,135,74,172,NIL,27,21,317,215,3,,,,,,
09.03.13,7.98,133,73,165,NIL,25,20,295,200,2,,,,,,
10.03.13,7.92,133,74,168,NIL,24,20,295,200,3,,,,,,
11.03.13,7.95,124,70,162,NIL,21,19,280,190,2,,,,,,
12.03.13,7.9,125,70,160,NIL,21,20,295,200,2,,,,,,
13.03.13,7.98,130,72,165,NIL,23,20,318,215,3,,,,,,
14.03.13,7.92,122,70,162,NIL,21,19,295,200,2,,,,,,
15.03.13,8.02,121,70,170,NIL,21,19,286,194,2,,,,,,
16.03.13,7.86,122,70,160,NIL,21,19,288,195,2,,,,,,
17.03.13,7.88,121,71,162,NIL,22,20,290,197,3,,,,,,
18.03.13,7.96,120,69,165,NIL,20,18,280,190,2,,,,,,
19.03.13,7.92,122,70,162,NIL,21,19,295,200,2,,,,,,
20.03.13,8.02,125,71,165,NIL,23,19,310,210,3,,,,,,
21.03.13,7.99,126,71,162,NIL,25,20,325,220,3,,,,,,
22.03.13,8.01,126,71,165,NIL,25,20,325,220,3,,,,,,
23.03.13,8.03,117,68,165,NIL,21,19,295,200,2,,,,,,
24.03.13,8.02,116,65,168,NIL,22,19,310,210,3,,,,,,
25.03.13,8.01,120,69,170,NIL,21,19,325,220,2,,,,,,
26.03.13,8.18,123,68,170,NIL,21,19,328,222,3,,,,,,
27.03.13,8.15,118,68,165,NIL,21,19,317,215,2,,,,,,
28.03.13,8.06,116,65,165,NIL,21,19,320,219,2,,,,,,
29.03.13,8.12,117,66,162,NIL,21,19,325,220,2,,,,,,
30.03.13,7.98,130,72,162,NIL,25,20,317,215,3,,,,,,
31.03.13,8,129,74,162,NIL,26,19,322,218,2,,,,,,
AVRG,8.005806451612905,125.3225806451613,70.6774193548387,165.4516129032258,NIL,22.93548387096774,19.419354838709676,306.3225806451613,207.6451612903226,2.3225806451612905,,,,,,
